po_number,po_qty,po_ts,category,dispatched_qty,origin,destination,O2D_,vehicle_dispatched_ts,vehicle_reached_delivery_location_ts,payment_confirmation_received_by_ops,vehicle_unloaded_ts,buyer_name,seller_name,Tons_Bucket,order,route,Month,total_rounds,vehicle_placement_ts,delay,#vehicle_before_unloading,qty_before_unloading
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,25.1299991607666,Durgapur,Sikendarabad,8.180860070812502,2024-04-24 22:15:00,2024-04-26 23:00:00,2024-04-27 16:15:00,2024-04-28 15:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,1.0,durgapur-sikendarabad,April,17,4/22/2024 11:00:00,1.6666666666666667,2,88.92000007629395
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,30.0,Durgapur,Sikendarabad,8.170433553059896,2024-04-24 22:00:00,2024-04-26 11:00:00,2024-04-27 14:14:00,2024-04-27 16:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,2.0,durgapur-sikendarabad,April,17,04/24/2024 7:31:00,1.2083333333333333,0,30.0
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,33.790000915527344,Durgapur,Sikendarabad,11.17043488902381,2024-04-27 22:00:00,2024-05-02 09:28:00,2024-05-02 01:46:00,2024-05-02 18:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,3.0,durgapur-sikendarabad,April,17,04/26/24 15:00:00,0.35555555555555557,6,273.0600051879883
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,41.52000045776367,Durgapur,Sikendarabad,13.170423711614035,2024-04-29 22:00:00,2024-05-02 09:28:00,2024-05-02 13:01:00,2024-05-02 13:30:24,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,4.0,durgapur-sikendarabad,April,17,04/28/2024 22:12:00,0.16833333333333333,4,208.11000442504883
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,42.040000915527344,Durgapur,Sikendarabad,13.128757644593266,2024-04-29 21:00:00,2024-05-02 09:00:00,,2024-05-02 13:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,5.0,durgapur-sikendarabad,April,17,04/29/2024 9:03:00,0.16666666666666666,3,166.59000396728516
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,42.15999984741211,Durgapur,Sikendarabad,15.170422777217246,2024-05-01 22:00:00,2024-05-04 03:00:00,,2024-05-04 20:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,6.0,durgapur-sikendarabad,April,17,4/30/2024 7:10:00,0.7083333333333334,11,423.2300033569336
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,41.2400016784668,Durgapur,Sikendarabad,15.170416228409707,2024-05-01 22:00:00,2024-05-04 18:30:00,2024-05-06 18:47:00,2024-05-07 07:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,7.0,durgapur-sikendarabad,April,17,4/30/2024 13:59:00,2.5208333333333335,10,381.0700035095215
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,41.150001525878906,Durgapur,Sikendarabad,15.795430632490689,2024-05-02 13:00:00,2024-05-05 02:00:00,,2024-05-05 19:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,8.0,durgapur-sikendarabad,April,17,5/1/2024 12:31:00,0.7083333333333334,9,339.8300018310547
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,42.119998931884766,Durgapur,Sikendarabad,16.170418797075218,2024-05-02 22:00:00,2024-05-05 02:00:00,,2024-05-05 16:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,9.0,durgapur-sikendarabad,April,17,5/1/2024 12:31:00,0.5833333333333334,8,298.6800003051758
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,41.68000030517578,Durgapur,Sikendarabad,16.170416656827896,2024-05-02 22:00:00,2024-05-05 02:00:00,,2024-05-06 17:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,10.0,durgapur-sikendarabad,April,17,5/1/2024 17:44:00,1.625,7,256.560001373291
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,31.1200008392334,Durgapur,Sikendarabad,16.1912595015777,2024-05-02 22:30:00,2024-05-07 05:00:00,,2024-05-08 18:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,11.0,durgapur-sikendarabad,April,17,5/1/2024 19:40:00,1.5416666666666667,6,214.88000106811523
PO/25/HA/111,600.0,2024-04-16 17:54:35,RMC - Steel,31.030000686645508,Durgapur,Sikendarabad,17.170414497029473,2024-05-03 22:00:00,2024-05-05 02:00:00,,2024-05-06 10:00:00,HANNU STEEL PRIVATE LIMITED,SUMANGAL ISPAT PVT LTD,400+,12.0,durgapur-sikendarabad,April,17,5/2/2024 20:07:00,1.3333333333333333,5,183.76000022888184
